Oocyte..1.RPKM.	Oocyte..2.RPKM.	Oocyte..3.RPKM.	Zygote..1.RPKM.	Zygote..2.RPKM.	Zygote..3.RPKM.	X2.cell.embryo.1..Cell.1.RPKM.	X2.cell.embryo.1..Cell.2.RPKM.	X2.cell.embryo.2..Cell.1.RPKM.	X2.cell.embryo.2..Cell.2.RPKM.	X2.cell.embryo.3..Cell.1.RPKM.	X2.cell.embryo.3..Cell.2.RPKM.	X4.cell.embryo.1..Cell.1.RPKM.	X4.cell.embryo.1..Cell.2.RPKM.	X4.cell.embryo.1..Cell.3.RPKM.	X4.cell.embryo.1..Cell.4.RPKM.	X4.cell.embryo.2..Cell.1.RPKM.	X4.cell.embryo.2..Cell.2.RPKM.	X4.cell.embryo.2..Cell.3.RPKM.	X4.cell.embryo.2..Cell.4.RPKM.	X4.cell.embryo.3..Cell.1.RPKM.	X4.cell.embryo.3..Cell.2.RPKM.	X4.cell.embryo.3..Cell.3.RPKM.	X4.cell.embryo.3..Cell.4.RPKM.	X8.cell.embryo.1..Cell.1.RPKM.	X8.cell.embryo.1..Cell.2.RPKM.	X8.cell.embryo.1..Cell.3.RPKM.	X8.cell.embryo.1..Cell.4.RPKM.	X8.cell.embryo.2..Cell.1.RPKM.	X8.cell.embryo.2..Cell.2.RPKM.	X8.cell.embryo.2..Cell.3.RPKM.	X8.cell.embryo.2..Cell.4.RPKM.	X8.cell.embryo.2..Cell.5.RPKM.	X8.cell.embryo.2..Cell.6.RPKM.	X8.cell.embryo.2..Cell.7.RPKM.	X8.cell.embryo.2..Cell.8.RPKM.	X8.cell.embryo.3..Cell.1.RPKM.	X8.cell.embryo.3..Cell.2.RPKM.	X8.cell.embryo.3..Cell.3.RPKM.	X8.cell.embryo.3..Cell.4.RPKM.	X8.cell.embryo.3..Cell.5.RPKM.	X8.cell.embryo.3..Cell.6.RPKM.	X8.cell.embryo.3..Cell.7.RPKM.	X8.cell.embryo.3..Cell.8.RPKM.	Morulae..1..Cell.1.RPKM.	Morulae..1..Cell.2.RPKM.	Morulae..1..Cell.3.RPKM.	Morulae..1..Cell.4.RPKM.	Morulae..1..Cell.5.RPKM.	Morulae..1..Cell.6.RPKM.	Morulae..1..Cell.7.RPKM.	Morulae..1..Cell.8.RPKM.	Morulae..2..Cell.1.RPKM.	Morulae..2..Cell.2.RPKM.	Morulae..2..Cell.3.RPKM.	Morulae..2..Cell.4.RPKM.	Morulae..2..Cell.5.RPKM.	Morulae..2..Cell.6.RPKM.	Morulae..2..Cell.7.RPKM.	Morulae..2..Cell.8.RPKM.	Late.blastocyst..1..Cell.1.RPKM.	Late.blastocyst..1..Cell.2.RPKM.	Late.blastocyst..1..Cell.3.RPKM.	Late.blastocyst..1..Cell.4.RPKM.	Late.blastocyst..1..Cell.5.RPKM.	Late.blastocyst..1..Cell.6.RPKM.	Late.blastocyst..1..Cell.7.RPKM.	Late.blastocyst..1..Cell.8.RPKM.	Late.blastocyst..1..Cell.9.RPKM.	Late.blastocyst..1..Cell.10.RPKM.	Late.blastocyst..1..Cell.11.RPKM.	Late.blastocyst..1..Cell.12.RPKM.	Late.blastocyst..2..Cell.1.RPKM.	Late.blastocyst..2..Cell.2.RPKM.	Late.blastocyst..2..Cell.3.RPKM.	Late.blastocyst..2..Cell.4.RPKM.	Late.blastocyst..2..Cell.5.RPKM.	Late.blastocyst..2..Cell.6.RPKM.	Late.blastocyst..2..Cell.7.RPKM.	Late.blastocyst..2..Cell.8.RPKM.	Late.blastocyst..2..Cell.9.RPKM.	Late.blastocyst..2..Cell.10.RPKM.	Late.blastocyst..3..Cell.1.RPKM.	Late.blastocyst..3..Cell.2.RPKM.	Late.blastocyst..3..Cell.3.RPKM.	Late.blastocyst..3..Cell.4.RPKM.	Late.blastocyst..3..Cell.5.RPKM.	Late.blastocyst..3..Cell.6.RPKM.	Late.blastocyst..3..Cell.7.RPKM.	Late.blastocyst..3..Cell.8.RPKM.	gen
5.5	7.4	6.9	7.5	14.2	10.8	2.7	3.2	4	4.5	5.8	6.7	5.2	9	6.8	1.1	9.6	9.8	13	15.4	7.7	13.1	13	12.1	10	10.3	2.2	4.8	0.6	0.8	2.6	0.1	1.7	1.4	0.3	0.7	0.8	0.1	2.9	0.7	0.5	0	0	3.8	6.6	1	6.6	2.6	0.1	0.4	4.7	0.1	0	0.2	0	0	4.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CLCN4
18.6	40.2	33	26.5	18.3	16.9	14.8	15.9	15.9	13.9	12.6	10.4	1.7	0.9	1.6	0.1	5.7	2.4	1.8	5.4	4.6	7.9	2.5	3.5	0.7	3.1	1.9	0.6	0	2	0	0	0	0	0	0	0	0	0.2	0	0.4	0	0	0	0.1	0	0	2.2	0	0.7	0	0.7	0	0	0	0	0	0	0.3	0	0	0	0	0	0	1.7	0	0	0.1	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	IGSF11
10.1	10.8	10.1	3.6	4.7	7	5	5.6	6.4	4.2	6.2	6.5	6.5	3.8	11	7.7	7.3	9.8	7.8	11.3	9.6	10	11.3	13.2	1.8	3.7	1.7	2.7	0	0.4	0	0.4	0	0.2	0	0	1	0	0.1	0.1	3.1	0	0.9	1	0.8	0.3	0	0.4	0	2	0.5	0	0.9	1.3	0.4	0	1.2	0.5	0	0.6	2.5	1.4	0.2	0.2	0	0	0.3	0.4	0.3	0.5	0.6	2	1.3	4.9	0.4	3	5.7	0.4	0	0	0	0	0	0	0	0.5	1.5	0	1.1	0	LOC100132707
1.3	2.8	6.4	3.9	0.7	2.9	5.2	4.6	3.7	4.3	0.6	0.5	7.3	0.2	3.1	0.8	11.9	0.5	9.5	0.6	7.2	5.4	8.7	11.2	2.5	0	0.5	4.1	2.7	0.5	4.7	1.6	0.1	0.2	0	5.1	1.6	2.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ZCCHC12
0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.1	0.2	0.2	1.5	0	0	0	0	0	0	0	2.7	2.9	2.1	0.2	199.8	168.6	99	167.1	131.7	121.6	142	110.6	219.3	199.8	149.9	149	129	161.6	199.2	155	232.4	137.4	3.9	141.5	204.7	231.7	139.2	2.8	236.9	190.9	273.5	347.6	328.1	332.4	335.1	211.9	2.9	0	1.2	0.3	0.2	0.2	0.1	0.3	0.8	16	3.3	0.2	5.7	25.8	82.2	0.6	0.1	0.9	0.2	0.5	0.2	0.2	0.2	0	0	26.1	19.5	0	0	0	ARGFX
115	102.3	112.5	100.2	88.9	105.3	121	114.4	102.8	110.6	81.3	84.2	156.3	300.2	215.4	182	100.9	134.9	127.7	88.3	132.2	177.5	127.4	155.9	41.2	76.9	73	77.7	8	13.3	9.4	2.8	10.9	11.4	4.4	10.4	14.8	8.5	11.7	12.2	24.1	0.8	25.6	2.5	19	0	58.5	4.4	3.1	0	0.2	93.8	0	0	0	0	10.3	2	0	0.4	0.3	0	0	0	0	0	0	1.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DCT
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0	0	0.9	2.5	0.3	9.3	3.9	12.7	7.8	7.3	0.9	5.1	1.7	2.2	6.2	0.1	0	15.1	32.4	5.1	15.2	0	18.9	12.9	0	0	6.4	0	0	19.9	0	0	ANXA8
159.2	117	93.3	96.4	94.2	103.8	206.8	168.2	139.6	187.7	84.8	86.9	119.2	191.6	140.2	157.6	127.3	123.7	106.9	130.4	171.1	143.7	136.8	207.7	48	49	32.6	31.6	0	1.5	0	0	0	0	12	0.5	1.5	2.6	0	11.7	8.1	49.2	7.6	0	0	0	5.7	0	0	0	0	0.8	0	0	3.5	10.9	11.5	0.5	1.8	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	C15orf60
62.4	67.8	70.2	37.5	53.3	53.3	86.8	67	62.3	51.1	52.6	44.9	161.7	127.2	138.2	194.4	115.9	150.6	109	175.9	171.3	145.4	167	127	70.7	54.1	117.7	85.5	2.4	11.2	5.9	3.6	5.3	2.6	0.8	3.4	12.6	1.2	3.5	7.2	16.8	1.9	20.3	0	1.5	0	14.3	0.6	0	0	2.6	18.3	0	0.4	0	3.8	0	0	2.7	1.9	0.2	0	0	0	0.3	0.1	10.5	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	3.8	0	0	0	0	0	SVOPL
2.7	2.8	2.4	3	2.7	2.8	1.8	2	1.9	2.4	1.3	1.7	4.8	4.4	4.2	4.5	4.6	3.6	3.9	2.2	3.1	4.8	3	3.3	0.6	1.8	1.6	0.9	0.2	0	0.7	0.2	0	0.2	0.2	0	0.2	1.3	0	1	0.2	0	0.4	1	0	0.1	0.8	0.1	0.3	0.5	1.1	3.8	0	0	0	0	0	0.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	LRP1B
3.5	5.4	7.6	7	7.3	6.1	5	5.3	6.3	4.3	5.1	4.7	8.5	20.9	11.6	16.5	2.1	9.7	8.4	3.5	10.2	2.7	9.8	2.1	3.4	6.1	1.8	5.2	0	2.9	0	4.6	0	2	2.2	0.2	0	6.3	0	0	1.1	0	0	0.7	0.6	0	0.1	6	0	10	0	0	0	0	0	0	0	0	1.9	0	0	0	0	0	0	0	0	0	0	0	0.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SPAG6
0.5	0.9	2.1	0.1	4	1.5	0.8	0.9	0.3	0.1	1	0	0	0	0.3	0	0.2	0	0	1.1	3	1.3	1.1	0	0	5	0	0	0.1	0.4	0.2	6.6	0	0	0	1.9	0	0.9	3.4	5.3	1.4	0.2	1	0	0.5	17.8	0.4	12	14.5	9.4	21.9	0	24.3	33.2	16.3	25.7	2.4	14.8	22.6	28.4	66.7	70.1	90.1	157	35.9	214.5	56.6	85.1	60.8	46	192.7	20	34.2	12.6	8.8	103	70.2	63.6	107.9	90.8	76.8	69.8	42.3	46.3	40	29.7	0.1	45.9	44.1	108.7	GLIPR2
15.3	19.2	19.1	15.2	25.5	20	18.8	20.9	19.7	21.6	37.7	35.4	67.1	67.7	111.5	58	23	17.3	18.5	21.4	29.7	27.2	20.3	24.5	9	13	4.7	7.2	1.2	0.8	0.9	1.6	0.6	0.4	1.4	1.9	1.7	3.6	7.3	5.4	2.6	0.6	0.1	1.2	15.6	0.8	11.4	4.1	1.7	0.2	2.2	1.8	1.9	0.3	1.2	0.7	1	0.7	2	0	0.4	0	0	3.8	0	0.1	2.7	0	0.3	0	0	2.5	0	0.3	0	1.3	0.7	0	2.2	0	0	0	0	0.2	0.2	1.4	0	0.5	0	0	FAM41C
0.7	0.6	0.5	0	0	0	0	0	0	0	0.2	0.2	0	0	0.1	0	0	0	1.4	0	0	0	0	0	15.3	40.2	17.1	11.5	2.6	1.8	0	4.1	0	0	0	1.4	1.3	0	0	4.6	4.1	0	0.1	7.6	0.1	3.6	178.9	6	0	18.3	0.3	159.1	3	0.8	0	0	0	2.4	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TAC1
15.9	34.3	23.6	33.7	37.3	30.6	26.4	24	27	28.6	22.5	20.1	16.7	20.6	9.1	12.1	6.6	21.7	8.5	18.8	19.2	16.2	27.3	17.3	6	15.5	6.9	12	3.5	2.5	0.9	4.4	0.5	0	1.5	2.6	4	0	0	0	0.3	0	0.6	0	8.7	0	0	0.5	4	0	0	0	2.2	4	0.3	0	0	0	0	3.4	1.3	9.4	10.8	4.2	0.5	9.9	17.9	3.8	2.9	1.6	0.9	2.1	4.9	2.6	0.1	21.9	0	2.8	0.6	2.2	0.2	20.3	0.5	26.6	0.1	11.1	0	27.4	0.2	3	FAM199X
0.3	0.3	0.6	0.9	0.7	0.7	0.9	1.1	1.5	1.1	0.9	0.9	1.9	0.8	1.8	0.4	1.9	2.6	2.2	0.3	1.5	1.4	1.2	2	2	0.8	0.3	2.4	0.5	0	0	0	0	0	0.3	0	0.2	0	0	0.3	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SHANK3
5.7	5.5	1.8	18.2	16.3	26.3	8.8	8.2	8.7	10.1	15.7	11.2	17.9	28.3	62.8	12.8	26.3	22.6	43.7	36.9	65.5	46.7	45.4	45.7	3.7	4.3	15.2	0.9	0.3	2.8	0	0	0	0.7	5.2	2.1	6.7	2.7	0	3.9	5.5	0	17.7	0.1	0	0	0	0	0.3	0	0	0	0	0	0.6	3.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FOLR4
30.2	48.4	35.4	32.3	30	28.1	30.4	25.5	29.1	23.8	21.3	21.6	55.9	31.6	27.8	33.4	23.8	20.2	23.5	23.3	30.8	52.5	34.7	36.5	22.5	20.7	17.7	11.1	5.5	5	6	7.1	0.7	4.9	0	6.3	2.5	6.9	8.2	9.1	10.6	9.5	1.9	8.6	0	0	0	0.1	0	0	0	0	0	1.8	0.2	0.3	0	1.4	3.3	0	0	0	0	0	0	0	0	0	0	0	1.1	11.1	0	0.1	0	5.1	0	0	0.9	0.2	0	0	0	0	0	0	0.2	0	0	0	ACPL2
0.7	1.3	2.3	2.7	1.9	3.2	2.4	2.3	3.7	1.8	1.6	2.3	2.1	0	0.2	0	0	2	3.4	4.4	1.7	2.6	1.9	0	0	3.8	1.6	0	2.4	4.2	8.5	18.1	19.2	5.2	9.7	7	4.8	1.8	11.6	4.4	18.7	16.6	7.3	2.9	64.9	26.8	1.1	39.8	33.4	32.5	38.4	0.2	25.4	35.4	13.9	10.6	27.4	24.6	20.1	16.8	0	2.4	0	0	0	0	4.2	0	7.2	0	0.4	0	7.3	0	0	0	4	0	0	0	0	0	0	0	0	0	8.1	0	0	0	BAIAP2L2
17.7	19.6	23.9	13	9.2	7.7	5.4	3.9	5.5	6.9	3.9	7.1	0.1	20.3	13.2	0.6	9.9	20.2	11.5	9.7	24.3	7.8	6.6	16.4	10.9	15	2.7	2.1	0	1.8	0	0	0	0	0	0	3.5	0	0.6	4.8	0	2.1	0	0	0	0	0	0	0	0	0	0	0	0	0	3.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	LOC728724
300.6	328.5	342.1	439.6	673.4	419.5	581.4	670.4	1026.5	798.2	607.9	603.4	418.1	277.4	440.3	349.4	298	314.3	285.8	398.5	367.4	390.6	407	399.6	262.6	219.6	180.4	153.9	37.1	19	31.3	21.1	30	6	13.6	33.7	52.6	97.3	65.7	51.9	76.9	38	46.3	27.8	25.8	9.8	178	7.4	6.8	17.2	9.1	192.9	8.1	1.8	13.1	1.2	2.4	4.9	5.8	0.4	0.5	0	0	0	0	0.9	0	0	0	0	0	1.3	0	0.1	1.7	5.9	0	0	0	0	4.6	0	0	0	0	55.4	0	0	0	0	NLRP9
0	0.5	0.5	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	2.4	0	0	0.7	0	0	2.3	8.2	0	5	9.4	11.1	0	2.3	19.3	3.5	0.2	6.5	1.8	10.8	6.1	4.8	12.9	23.6	14.5	22.2	39.7	41.4	29.7	0.6	71.6	100.8	85	71	0.5	91.4	53.8	114.6	184.2	119.6	63.3	61.7	96.9	14.7	0.4	2.6	45.7	33.7	1.6	12.1	2.9	19	0	16.2	3.3	9.7	0	0.7	6	0	11	0	0.1	0	0	0	24.4	19.7	0.2	2.1	66	0.1	28.5	BLVRB
693.5	619.6	503.6	686.8	559.3	625.1	641.4	631.6	617.8	685.6	689.2	698.2	385.1	378.9	413.3	442.6	246	271.7	289.9	281.7	395	436.5	381.7	371.6	76.8	58	69.9	66.1	2.3	2	5	5.5	0.9	6.1	7.4	8	12.9	25.5	9.2	7.6	12.9	12.9	6.6	0.3	0.3	6.5	83.5	4.5	1.6	0	3.2	66.4	0.7	0.4	0.9	0	0	1.8	0.5	0.2	0.6	0	0	0	0	8.2	0	0	0	0.5	0	0	0	0	0.4	0.2	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	FAM13A
21.5	13.6	15.3	9.5	11.7	8.5	14.1	14	9	11.5	12.8	9.1	1	7.7	14.1	10.3	6.6	6.8	8.1	5.4	14.2	22.6	19.1	12.8	3.4	6.7	10.8	6.9	0	0.2	0.2	3.4	0	0	0	1.5	0.2	7.1	0	1.6	0.2	0.2	0.1	9.5	10.6	1.1	2.3	1.5	2.1	0.2	0.3	5	0.2	3.1	0.9	0.5	2.9	2.3	1	0.5	0	0	8	0.2	4.6	10.7	6.6	0.6	1.5	0.1	4.1	4	2.3	0.3	0.3	0.2	0	1.1	0.1	0	0	0.1	0	8.2	1.2	0	0	0	0.1	0	AK1
2.7	6.2	4	3.8	2.9	2.9	1.8	1.7	2.3	1.5	2.3	2.1	0.3	12	1.5	5.5	6.6	5	5.3	9.6	3.5	13.3	7.7	6.2	2.7	3.2	7.8	0	0	0	0.7	0	0	0	0	0	0	8.9	0	0	0.6	0	0.5	0	0	0	0	0.1	0	0	0	0	0	0	7.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DNAJB13
